Company,Website,Role,Location,Work Model,Status,Date Added,Date Applied,Salary Range,Contact,Job URL,Notes
AIDAR,https://wellfound.com/company/aidar,Senior Full-Stack Engineer,"Hamburg, Germany",Remote Options,Researched,2026-02-15,,,,,AI music discovery. EUR 59k + equity. Fit: 5/5
Synchtank / AIMS,https://synchtank.com,Music Expert (Product),Europe,Remote,Researched,2026-02-15,,,,,Music rights management
Chronicle Studios,https://wellfound.com,Senior Platform Engineer,Remote - Canada/Europe,Remote,Researched,2026-02-15,,$140k-$180k,,,Entertainment franchises. Fit: 4/5
Clutch,https://wellfound.com/company/clutch,Frontend Engineer (Mobile),Remote - Canada,Remote,Researched,2026-02-15,,$50k-$90k,,,AI sports training app
Featurebase,,Full Stack Engineer,Europe,Remote,Researched,2026-02-15,,$50k-$100k,,,Customer feedback platform
Spread,,Forward Deployed Engineer,"Berlin, Germany",Hybrid,Researched,2026-02-15,,,,,Engineering intelligence network
Bolt,,Senior Full Stack,Warsaw/Berlin/Tallinn,Hybrid,Researched,2026-02-15,,,,,European super-app
Epidemic Sound,https://careers.epidemicsound.com,,"Stockholm, Sweden",Remote Options,Researched,2026-02-15,,,,,"Royalty-free music platform. Unicorn. Fit: 5/5. Rep: C — Glassdoor 2.8, rolling layoffs, strong revenue but toxic culture"
Groover,https://groover.co,,"Paris, France",Hybrid,Researched,2026-02-15,,,,,"Music promotion platform. Series A. Fit: 4/5. Rep: B — Glassdoor 4.5, no layoffs, positive culture"
Musixmatch,https://www.musixmatch.com/careers,,"Bologna, Italy / London",Hybrid,Researched,2026-02-15,,,,,"World's largest lyrics platform. Fit: 4/5. Rep: A — Glassdoor 4.1, no layoffs, 86% recommend, stable"
Chroma,,"Stockholm, Sweden",,Unknown,Researched,2026-02-15,,,,,Entertainment sound platform. Fit: 3/5
Antescofo,,"Paris, France",,Unknown,Researched,2026-02-15,,,,,AI music software. Fit: 3/5
Instrumental,,"London, UK",,Unknown,Researched,2026-02-15,,,,,Music artist development. Fit: 3/5
ElevenLabs,https://elevenlabs.io/careers,,Poland / New York,Remote Options,Researched,2026-02-15,,,,,"AI voice synthesis. $330M ARR. Fit: 5/5. Rep: B — Glassdoor 4.1, no layoffs, but deepfake controversies and demanding culture"
Supercell,https://supercell.com/en/careers,,"Helsinki, Finland",Hybrid,Researched,2026-02-15,,,,,"Mobile gaming giant. Small team culture. Fit: 4/5. Rep: B+ — Glassdoor 3.9, strong revenue, solid employer"
Paradox Interactive,https://career.paradoxinteractive.com,,"Stockholm, Sweden",Hybrid,Researched,2026-02-15,,,,,"Strategy game publisher. Modding community. Fit: 4/5. Rep: D — Glassdoor 3.2, harassment scandal, forced RTO, studio closures"
IO Interactive,https://www.ioi.dk/careers,,Copenhagen / Malmö / Barcelona,Hybrid,Researched,2026-02-15,,,,,"AAA studio. 150 new Barcelona jobs. Fit: 3/5. Rep: C — Glassdoor 3.5, below-average salaries, hidden crunch"
Frontier Developments,https://www.frontier.co.uk/careers,,"Cambridge, UK",Hybrid,Researched,2026-02-15,,,,,"Simulation games. Fit: 3/5. Rep: D — Glassdoor ~3.0, 50-200 redundancies, stock crashed 80%"
Wargaming,https://wargaming.com/en/careers,,"Nicosia, Cyprus + Europe",Hybrid,Researched,2026-02-15,,,,,"Military MMOs. Multiple European offices. Fit: 3/5. Rep: C+ — Glassdoor 4.2, layoffs early 2025, toxic culture allegations"
Voodoo,https://www.voodoo.io/careers,,"Paris, France",Hybrid,Researched,2026-02-15,,,,,"Mobile game publisher. Growth-driven. Fit: 4/5. Rep: B — Glassdoor 4.2, 81% recommend, strong comp, solid culture"
RIVRS,,"Rennes, France",,Unknown,Researched,2026-02-15,,,,,UGC game creation. €4M seed. Fit: 4/5
Overwolf,https://www.overwolf.com/careers,,Tel Aviv + Europe,Remote Options,Researched,2026-02-15,,,,,"Modding platform. TS-based. Fit: 5/5. Rep: B — Glassdoor 4.6, 85% recommend, no layoffs, $100M ad revenue"
mod.io,https://mod.io,,Melbourne + remote,Remote,Researched,2026-02-15,,,,,Cross-platform mod management. Fit: 4/5
Ready Player Me,https://readyplayer.me,,"Tallinn, Estonia",Remote,Researched,2026-02-15,,,,,"Avatar platform. $56M+ raised. Fit: 4/5. Rep: ? — Acquired by Netflix Dec 2025, ceasing independent operations"
Devolver Digital,https://www.devolverdigital.com,,Remote-first,Remote,Researched,2026-02-15,,,,,"Indie game publisher. Fit: 3/5. Rep: C+ — Financially healthy but cut 40-50%+ staff at subsidiaries in 2024"
XCEED,https://xceed.me,,"Barcelona, Spain",,Researched,2026-02-15,,,,,"Nightlife/music events platform. 350+ cities. Fit: 4/5. Rep: A — Glassdoor 4.8, 94% recommend, no layoffs, great culture"
Fever,https://careers.feverup.com,,Madrid / London,Hybrid,Researched,2026-02-15,,,,,"Live entertainment discovery. Acquired Dice. Fit: 4/5. Rep: C — Glassdoor 3.7, trial-period terminations, low comp rating"
Sofar Sounds,https://www.sofarsounds.com,,"London, UK + global",,Researched,2026-02-15,,,,,"Intimate live music events. Fit: 4/5. Rep: D — Glassdoor 3.4, layoffs 2023, fired striking workers 2025"
